date,family,sales,dcoilwtico,est_ferie,day_of_week,month
2013-01-01,BEVERAGES,810.0,93.14,1,1,1
2013-01-02,BEVERAGES,72092.0,93.14,0,2,1
2013-01-03,BEVERAGES,52105.0,92.97,0,3,1
2013-01-04,BEVERAGES,54167.0,93.12,0,4,1
2013-01-05,BEVERAGES,77818.0,93.14666666666668,0,5,1
2013-01-06,BEVERAGES,86184.0,93.17333333333333,0,6,1
2013-01-07,BEVERAGES,51619.0,93.2,0,0,1
2013-01-08,BEVERAGES,46941.0,93.21,0,1,1
2013-01-09,BEVERAGES,47910.0,93.08,0,2,1
2013-01-10,BEVERAGES,42390.0,93.81,0,3,1
2013-01-11,BEVERAGES,50793.0,93.6,0,4,1
2013-01-12,BEVERAGES,72754.0,93.82333333333332,0,5,1
2013-01-13,BEVERAGES,82854.0,94.04666666666667,0,6,1
2013-01-14,BEVERAGES,50195.0,94.27,0,0,1
2013-01-15,BEVERAGES,46604.0,93.26,0,1,1
2013-01-16,BEVERAGES,49122.0,94.28,0,2,1
2013-01-17,BEVERAGES,41646.0,95.49,0,3,1
2013-01-18,BEVERAGES,50245.0,95.61,0,4,1
2013-01-19,BEVERAGES,77014.0,95.73,0,5,1
2013-01-20,BEVERAGES,83841.0,95.85,0,6,1
2013-01-21,BEVERAGES,51118.0,95.97,0,0,1
2013-01-22,BEVERAGES,42931.0,96.09,0,1,1
2013-01-23,BEVERAGES,43549.0,95.06,0,2,1
2013-01-24,BEVERAGES,38394.0,95.35,0,3,1
2013-01-25,BEVERAGES,46689.0,95.15,0,4,1
2013-01-26,BEVERAGES,69586.0,95.41666666666667,0,5,1
2013-01-27,BEVERAGES,70851.0,95.68333333333334,0,6,1
2013-01-28,BEVERAGES,42178.0,95.95,0,0,1
2013-01-29,BEVERAGES,40592.0,97.62,0,1,1
2013-01-30,BEVERAGES,44583.0,97.98,0,2,1
2013-01-31,BEVERAGES,43078.0,97.65,0,3,1
2013-02-01,BEVERAGES,56866.0,97.46,0,4,2
2013-02-02,BEVERAGES,79804.0,97.04333333333332,0,5,2
2013-02-03,BEVERAGES,72329.0,96.62666666666667,0,6,2
2013-02-04,BEVERAGES,44528.0,96.21,0,0,2
2013-02-05,BEVERAGES,42741.0,96.68,0,1,2
2013-02-06,BEVERAGES,46479.0,96.44,0,2,2
2013-02-07,BEVERAGES,46000.0,95.84,0,3,2
2013-02-08,BEVERAGES,62111.0,95.71,0,4,2
2013-02-09,BEVERAGES,67626.0,96.14333333333333,0,5,2
2013-02-10,BEVERAGES,52689.0,96.57666666666667,0,6,2
2013-02-11,BEVERAGES,47522.0,97.01,1,0,2
2013-02-12,BEVERAGES,47483.0,97.48,1,1,2
2013-02-13,BEVERAGES,46575.0,97.03,0,2,2
2013-02-14,BEVERAGES,41366.0,97.3,0,3,2
